# baseline_head	1ad1b8d0cd593ff0b7a3b5bf3fa3ec92df5e9cb3
# ruff_version	0.16.1
# raw_findings	63
# groups	62
# raw_by_code	C901=63
# outside_groups	F401=1
Group	Rules	Directives	Raw by code	Member raw finding(s)	Disposition	Lifetime/task	Protected invariant and proof	Rejected alternative
RUFF-SUP-018	C901	1	C901=1	extensions/taut_mcp/taut_mcp/server.py::create_server [27]	P3	permanent	One server assembly unit shares bus, lifespan, protocol-era and registration state; dual-era/discovery/unknown-tool tests	Top-level handler churn or parallel legacy/modern servers
RUFF-SUP-019	C901	1	C901=1	extensions/taut_mcp/tests/test_stdio_server.py::test_broken_stdout_after_initialize_is_a_clean_transport_exit [13]	P3	permanent	Real-pipe peer-close, saturation, clean-exit and cleanup protocol; test plus platform classifier cases	Mocked pipes/process or counting forced cleanup as clean exit
RUFF-SUP-020	C901	1	C901=1	extensions/taut_mcp/tests/test_stdio_server.py::test_stdio_cancellation_sends_no_result_and_keeps_server_live [14]	P2	T6 temporary	Raw wire frames retain both protocol eras and absent/present-id assertions; stdio and process-reactor cancellation tests	Harness that interprets cancellation or hides frames
RUFF-SUP-021	C901	1	C901=1	extensions/taut_pg/tests/test_reactor.py::test_taut_watcher_polls_and_refreshes_membership_without_native_waiter [12]	P3	permanent	Real-PG fallback refresh, delivery, cursor, health and cleanup scenario; shared watcher lifecycle proof	Mocked PG, watcher or threads
RUFF-SUP-022	C901	1	C901=1	extensions/taut_pg/tests/test_reactor.py::test_taut_watcher_native_waiter_rebinds_on_membership_topology_change [11]	P3	permanent	Causal add/remove/rebind/close/native-wake sequence; test plus topology suite	Split add/remove tests or fake waiters
RUFF-SUP-023	C901	1	C901=1	extensions/taut_summon/taut_summon/_control.py::ControlLoop.run [20]	P2	T7 temporary	Reactor generation reacquisition, between-turn recovery and reply-after-release order; control-loop, ping and STOP tests	Splitting process/wait/recovery among owners
RUFF-SUP-024	C901	1	C901=1	extensions/taut_summon/taut_summon/_driver.py::SummonDriver._first_summon [19]	P3	permanent	Compensating claim/create/detect/close/publish/release transaction; collision, exhaustion, cleanup and concurrency tests	Helpers passing partial creator/member/claim ownership
RUFF-SUP-025	C901	1	C901=1	extensions/taut_summon/taut_summon/_driver.py::SummonDriver._supervise [25]	P1	T7 temporary	One lifecycle owner preserves bootstrap, orientation, live wait, teardown and crash/backoff order; attach, pump, watcher, crash and control tests	A second supervision loop or phase helpers carrying most live state
RUFF-SUP-026	C901	1	C901=1	extensions/taut_summon/taut_summon/_driver.py::SummonDriver._teardown_generation [14]	P3	permanent	Single inherited-primary/close/join/note/error-publication precedence owner; cleanup and timeout-precedence tests	Separate close and join exception owners
RUFF-SUP-027	C901	1	C901=1	extensions/taut_summon/taut_summon/_driver.py::SummonDriver._pump_event [13]	P2	T7 temporary	Generation lock remains across event dispatch and side effects and one owner retains last-activity state; stale-generation/flood/terminal tests	Unlocked handlers or duplicated dispatch state
RUFF-SUP-028	C901	1	C901=1	extensions/taut_summon/taut_summon/_driver.py::SummonDriver._attach_if_needed [17]	P2	T7 temporary	Availability policy separates without changing exact lease enter/exit and primary-error precedence; attach and rich-host tests	Generic context wrapper hiding explicit __exit__ arguments
RUFF-SUP-029	C901	2	C901=2	extensions/taut_summon/taut_summon/_driver.py::SummonDriver._start_watcher_thread [15] + nested _run_watcher@1784 [13]; rendered site is extensions/taut_summon/taut_summon/_driver.py::SummonDriver._start_watcher_thread	P1	T7 temporary	One attempt-local watcher owner preserves stop capture, publish/recheck, checked join and cursor rebuild; watcher failure/pre-publication/provider-isolation tests	Second/global watcher owner or source split that obscures attempt state
RUFF-SUP-030	C901	1	C901=1	extensions/taut_summon/taut_summon/_pty.py::PtyHandle.attach [18]	P3	permanent	One select-loop owner multiplexes input, PTY, wake, detach and terminal restoration; bridge/chord/forwarding/injection/wake/failure tests	Per-fd threads or fragmented multiplex ownership
RUFF-SUP-031	C901	1	C901=1	extensions/taut_summon/taut_summon/_pty.py::PtyHandle._event_stream [12]	P3	permanent	Single-consumer read/reply/activity/exit/master-retirement state machine; responder, close and consumer tests	Separating responder state from activity or master-close ownership
RUFF-SUP-032	C901	1	C901=1	extensions/taut_summon/taut_summon/_pty.py::PtyHandle._write_all [11]	P3	permanent	FD lease, epoch rechecks, serialized writes, wait retry and retirement stay together; cancellation/fd-reuse/signal tests	Generic write loop lacking every pre/post-syscall epoch check
RUFF-SUP-033	C901	1	C901=1	extensions/taut_summon/taut_summon/_pty.py::_validate_spec [11]	P2	T7 temporary	Ordered dimension/timing/quiet validation preserves accepted types, first failure and messages; unsafe/malformed/numeric tests	Generic validation framework or reordered fields
RUFF-SUP-034	C901	1	C901=1	extensions/taut_summon/taut_summon/_pty.py::_TerminalResponder._handle_csi [14]	P3	permanent	Explicit query/reply dispatch and unsupported-query marking; live/startup/incomplete-scan tests	Opaque callback table or protocol module without a real subprotocol owner
RUFF-SUP-035	C901	1	C901=1	extensions/taut_summon/taut_summon/_stream.py::StreamJsonHandle.close [12]	P3	permanent	Sole blocking finalizer owns concurrent close election, escalation, streams and primary-error precedence; close/timeout/reap tests	Separate kill and stream-close owners
RUFF-SUP-036	C901	1	C901=1	extensions/taut_summon/taut_summon/scripted_provider.py::_run_steps [16]	P3	permanent	Compact enumerable scenario-opcode dispatcher with firing proof per opcode; scripted and driver scenario suites	One trivial function per opcode
RUFF-SUP-037	C901	1	C901=1	extensions/taut_summon/tests/fixtures/fake_tui.py::main [16]	P2	T7 temporary	Fixture phases preserve exact terminal bytes, JSONL records, raw mode and RUN behavior; PTY/rich-host/live tests	Moving fixture behavior into production or generic TUI framework
RUFF-SUP-038	C901	1	C901=1	extensions/taut_summon/tests/fixtures/local_llm_tui.py::_call_local_llm [11]	P2	T7 temporary	Real HTTP transport and exact diagnostic kinds remain while pure response validation is isolated; URL/timeout/HTTP/malformed/sentinel tests	Mocking urlopen or changing diagnostic shape
RUFF-SUP-039	C901	1	C901=1	extensions/taut_summon/tests/test_interaction.py::test_controller_signal_opt_in_restores_exact_handlers [12]	P2	T7 temporary	Real signal install/restore covers every prior-handler and exit-kind pair; rollback and precedence neighbors	Mocked signal boundary or duplicated per-exit tests
RUFF-SUP-040	C901	1	C901=1	extensions/taut_summon/tests/test_interaction.py::test_rich_host_real_pty_lease_wires_once_then_wired_resume_skips_lease [16]	P3	permanent	Cross-generation real-PTY proof binds first lease, wired persistence, resumed no-lease and STOP ordering; neighboring restoration test	Splitting first run and resume into independent scenarios
RUFF-SUP-041	C901	1	C901=1	extensions/taut_summon/tests/test_live_harness.py::test_live_pty_harness_reaches_ready_and_accepts_injection [22]	P2	T7 temporary	Real installed harness/controller retains readiness, strict-versus-skip policy, deadlines and cursor catch-up; live matrix and reason tests	Mocked controller/process or helper that hides timeout evidence
RUFF-SUP-042	C901	1	C901=1	extensions/taut_summon/tests/test_live_local_llm.py::_CountingProxy.__enter__ [11]	P2	T7 temporary	Real loopback proxy preserves captured bodies, status/headers and 502 diagnostics; failure and sentinel tests	Request mocks or hidden forwarding behavior
RUFF-SUP-043	C901	1	C901=1	extensions/taut_summon/tests/test_live_local_llm.py::test_local_llm_pty_harness_posts_sentinel [11]	P3	permanent	One real discovery/prewire/proxy/PTY/sentinel/cleanup story with exactly one completion and no pre-success recovery; diagnostic tests	Mocked or independently split stages
RUFF-SUP-044	C901	1	C901=1	taut/_scripts.py::_extract_pytest_runner_overrides [12]	P3	permanent	Single-pass argv grammar and precedence; joined/separate/repeated/missing-value tests	Parser combinator or reordered token pass-through
RUFF-SUP-045	C901	1	C901=1	taut/client/__init__.py::TautClient.watch [12]	P2	T5 temporary	Canonical filter resolution/dedup occurs before validation/runtime allocation and aliases schedule once; watcher/DM tests	Splitting identity, DM cache or construction into parallel paths
RUFF-SUP-046	C901	1	C901=1	taut/client/_base.py::_ClientBase._resolve_target [11]	P3	permanent	One target-precedence and backend error-translation boundary; path/config/handoff/shared-backend tests	Backend-specific or separate ambient resolvers
RUFF-SUP-047	C901	1	C901=1	taut/client/_identity.py::IdentityMixin._resolve_member [43]	P3	permanent	One selector/token/claim/anchor-healing/human-fallback/creation owner preserves mutation and race precedence; dense identity/rejoin suites	Decomposition without a named resolution context that owns all shared evidence
RUFF-SUP-048	C901	1	C901=1	taut/client/_identity.py::IdentityMixin._create_member [11]	P3	permanent	Bounded collision/race/recovery and evidence publication protocol; collision/claim/authority tests	Generic retry machinery or split publication
RUFF-SUP-049	C901	1	C901=1	taut/client/_messaging.py::MessagingMixin.read_unread [12]	P2	T5 temporary	Each membership page decodes fully before its cursor advances and global/per-membership limits stay distinct; pagination/failure tests	Shared global cursor or partial-page advancement
RUFF-SUP-050	C901	1	C901=1	taut/commands/_dispatch.py::_dispatch [22]	P2	T5 temporary	One bootstrap owner retains parse/setup, run/error, stream, lazy load and primary-over-cleanup semantics; registry and terminal-policy tests	Second dispatch path or helper that owns cleanup separately
RUFF-SUP-051	C901	1	C901=1	taut/commands/_registry.py::CommandRegistry.__init__ [12]	P2	T5 temporary	One immutable discovery snapshot preserves normalization, collision selection and deterministic order; manifest/wheel tests	Mutable or repeated entry-point discovery
RUFF-SUP-052	C901	1	C901=1	taut/identity.py::capture_host_identity [11]	P3	permanent	Ordered Linux/Darwin/hostname portability fallback; platform preference/failure tests	Strategy classes or subprocess abstraction solely for score
RUFF-SUP-053	C901	1	C901=1	tests/helpers/base_reactor_sigint_probe.py::_run_probe [11]	P3	permanent	Isolated real-signal waiter replacement, topology and close protocol; reentrant SIGINT and watchdog tests	In-process or mocked-signal proof
RUFF-SUP-054	C901	1	C901=1	tests/test_cli.py::test_cli_watch_json_flushes_records_while_live [12]	P3	permanent	Real subprocess proves pre-exit message/notification NDJSON flush; adjacent cursor/policy cases	Post-exit-only observation or fake pipes
RUFF-SUP-055	C901	1	C901=1	tests/test_cli_claims.py::_shell_claim_tokens [13]	P3	permanent	One-pass shell precedence parser; extraction and tokenization matrices	Generic parser combinators or branch predicates
RUFF-SUP-056	C901	1	C901=1	tests/test_cli_claims.py::_validate_sources [12]	P3	permanent	Deterministic extraction/resolution/exemption/stale/count audit; defect fixtures and repository self-application	Broad or unconsumed exemptions
RUFF-SUP-057	C901	1	C901=1	tests/test_command_registry.py::test_registry_watch_sigint_path_stops_watcher_and_closes_client [11]	P2	T8 temporary	Exact stop, client close, JSON flush and human escaping remain firing assertions; watch rendering/lifecycle tests	Mocks that weaken lifecycle or combining JSON/human expectations
RUFF-SUP-058	C901	1	C901=1	tests/test_command_registry.py::test_registry_watch_flushes_dynamic_membership_and_preserves_broken_pipe_cursor [13]	P3	permanent	Real SQLite/thread/output/cursor replay transaction boundary; test plus closed-pipe case	Storage/output call-count mocks
RUFF-SUP-059	C901	1	C901=1	tests/test_direct_messages.py::test_corrupt_dm_state_fails_closed_before_queue_or_watch_runtime [16]	P2	T8 temporary	All 13 real-state corruptions fail before queue/watcher construction; parameter and integrity tests	Synthetic storage or dropping corruption cases
RUFF-SUP-060	C901	1	C901=1	tests/test_identity.py::test_capture_psutil_process_reads_best_effort_fields [11]	P3	permanent	Local fake protocol remains beside one exact ProcessInfo assertion; psutil failure neighbors	Reusable fake hierarchy
RUFF-SUP-061	C901	1	C901=1	tests/test_release_artifact.py::test_verify_bundle_fails_closed_for_each_manifest_contract [11]	P3	permanent	Explicit adversarial manifest/filesystem/tag checklist; parameter matrix plus success and CLI-failure tests	Mutation DSL or synthetic verifier inputs
RUFF-SUP-062	C901	1	C901=1	tests/test_release_script.py::test_public_release_flow_commits_preparation_then_reuses_it_after_failure [13]	P2	T8 temporary	Real Git proves failed precheck, preparation commit, reused SHA and phase order; release rerun/precheck suites	Mocked Git or helpers that weaken rerun/order evidence
